source,target,value
253481,253495,1
253481,253503,1
253481,1285572,1
253481,1359256,1
253481,1769021,1
253489,1285572,1
253489,1359256,1
253489,1769021,1
253495,253489,1
253495,1285572,1
253495,1359256,1
253495,1769021,1
253503,253489,1
253503,253495,1
253503,1069267,1
253503,1285572,1
253503,1359256,1
253503,1769021,1
253563,258078,1
253563,258082,1
253563,261700,1
253563,261702,1
253563,803113,1
253563,1109373,1
253563,1116898,1
253563,1174763,1
253563,1177455,1
253563,1178354,1
253563,1246648,1
253563,1258227,1
253563,1285697,1
253563,1379524,1
253563,1450527,1
253563,1458288,1
253563,1458297,1
253563,1646165,1
253711,253717,1
253711,260482,1
253711,1078832,1
253717,260482,1
253717,1078832,1
253719,253711,1
253719,253717,1
253719,260482,1
253719,260484,1
253719,1078633,1
253719,1078832,1
253719,1174308,1
253797,1034317,1
253797,1052294,1
253797,1199983,1
253943,1070079,1
253943,1149727,1
253943,1247720,1
253943,1316317,1
253943,1392951,1
253943,1424857,1
253943,1803153,1
253943,1866462,1
253943,55375017,1
253943,121056895,1
254071,6350,1
254071,250546,1
254071,260516,1
254071,1026486,1
254071,1114213,1
254071,1270145,1
254071,1642512,1
254071,1862926,1
254075,254083,1
254075,254097,1
254075,254181,1
254075,1042818,1
254075,1090469,1
254075,1096671,1
254075,1206972,1
254075,1233603,1
254075,1282647,1
254075,1398619,1
254075,1408817,1
254075,1408881,1
254075,1433248,1
254075,1439612,2
254075,1448268,1
254075,1671779,1
254083,1042818,1
254083,1096671,1
254083,1206972,1
254083,1233603,1
254083,1433248,1
254083,1439612,2
254083,1448268,1
254083,1671779,1
254097,254083,1
254097,254181,1
254097,1042818,1
254097,1090469,1
254097,1096671,1
254097,1206972,1
254097,1233603,1
254097,1282647,1
254097,1408881,1
254097,1433248,1
254097,1439612,2
254097,1448268,1
254097,1671779,1
254149,1278428,1
254149,1316321,1
254149,1362784,1
254181,254083,1
254181,1042818,1
254181,1096671,1
254181,1206972,1
254181,1233603,1
254181,1433248,1
254181,1439612,2
254181,1448268,1
254181,1671779,1
254185,462195,1
254185,1046833,1
254185,1166662,1
254185,1170112,1
254185,1225622,1
254185,1226008,1
254185,1308918,2
254185,1399708,1
254185,1404753,1
254185,1422896,1
254185,1438392,1
254185,1464665,2
254185,1501605,1
254185,1535937,1
254185,1591335,1
254185,1703519,1
254185,1752951,1
254185,1798677,1
254185,1821462,1
254185,59327745,1
254185,63649401,1
254185,195924316,1
254195,1157513,1
254195,1225209,1
254195,1412008,1
254195,1673205,1
254254,1014298,1
254254,1060216,1
254254,1110811,1
254254,1357506,1
254254,1358183,1
254254,1444541,1
254254,1581377,1
254254,1592995,1
254254,1684958,1
254254,29529136,1
254292,254129,1
254292,1067649,1
254292,1104853,1
254292,1319849,1
254292,1410275,1
254292,1609819,1
254448,6682,1
254448,256491,1
254448,257067,1
254448,257077,1
254448,988528,1
254448,1052642,1
254448,1055811,1
254448,1077737,1
254448,1100082,1
254448,1114158,1
254448,1150992,1
254448,1164975,1
254448,1180681,1
254448,1188650,1
254448,1202759,2
254448,1239974,1
254448,1240121,1
254448,1278387,1
254448,1324714,1
254448,1383225,1
254448,1411518,1
254448,1428114,1
254448,1455596,1
254448,1555628,1
254448,1811048,1
254620,6299,1
254620,258467,1
254620,261928,1
254620,389789,1
254620,989240,1
254620,1000256,1
254620,1004706,1
254620,1066236,1
254620,1071754,1
254620,1193475,1
254620,1245029,1
254620,1426516,2
254620,1492151,1
254620,1627183,1
254620,1635282,2
254652,1019761,1
254652,1029979,1
254684,1776329,1
254820,1017805,1
254820,1024518,1
254820,1060204,1
254820,1090281,1
254820,1114982,1
254820,1127612,1
254820,1210198,1
254820,1296956,1
254820,1324891,1
254820,1342309,1
254820,1366480,1
254820,1371332,1
254820,1374352,1
254820,1504694,1
254820,1819625,1
255128,262106,1
255128,1000187,1
255128,1000789,1
255128,1017805,1
255128,1087189,1
255128,1097125,1
255128,1136983,1
255128,1210198,1
255128,1271937,1
255128,1366137,1
255128,1466399,1
255243,1216269,1
255243,1350302,1
255243,1799710,1
255245,255243,1
255245,1216269,1
255245,1275086,1
255245,1350302,1
255245,1799710,1
255585,990533,1
255585,1069722,1
255663,1586825,1
255832,1425189,1
255884,258537,1
255884,1000452,1
255884,1003342,1
255884,1126578,1
255884,1309525,1
