project_id,subject_area,review_board,research_area
191948804,Technische Thermodynamik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
5484689,Mechanische Verfahrenstechnik,"Verfahrenstechnik, Technische Chemie",Ingenieurwissenschaften 
61375930,Mechanische Verfahrenstechnik,"Verfahrenstechnik, Technische Chemie",Ingenieurwissenschaften 
169148856,Mechanische Verfahrenstechnik,"Verfahrenstechnik, Technische Chemie",Ingenieurwissenschaften 
211137567,Mechanische Verfahrenstechnik,"Verfahrenstechnik, Technische Chemie",Ingenieurwissenschaften 
5485744,Klassische Philologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
5486176,Klassische Philologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
12590533,Klassische Philologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
39912149,Klassische Philologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
56072087,Klassische Philologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
178035969,Klassische Philologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
181475650,Klassische Philologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
190376163,Klassische Philologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
191249397,Klassische Philologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
194523353,Klassische Philologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
197396619,Klassische Philologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
215342465,Klassische Philologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
215859406,Klassische Philologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
216621636,Klassische Philologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
228914880,Klassische Philologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
5485864,Theoretische Informatik,Informatik,Ingenieurwissenschaften 
5485934,Theoretische Informatik,Informatik,Ingenieurwissenschaften 
206480214,Theoretische Informatik,Informatik,Ingenieurwissenschaften 
237179235,Theoretische Informatik,Informatik,Ingenieurwissenschaften 
13165901,Theoretische Philosophie,Philosophie,Geistes- und Sozialwissenschaften 
13165901,Geschichte der Philosophie,Philosophie,Geistes- und Sozialwissenschaften 
13738635,Katholische Theologie,Theologie,Geistes- und Sozialwissenschaften 
39235621,Katholische Theologie,Theologie,Geistes- und Sozialwissenschaften 
75015413,Katholische Theologie,Theologie,Geistes- und Sozialwissenschaften 
162347376,Katholische Theologie,Theologie,Geistes- und Sozialwissenschaften 
179901502,Katholische Theologie,Theologie,Geistes- und Sozialwissenschaften 
13799719,Urologie,Medizin,Lebenswissenschaften 
190473765,Urologie,Medizin,Lebenswissenschaften 
214322699,Urologie,Medizin,Lebenswissenschaften 
28074213,Empirische Sozialforschung,Sozialwissenschaften,Geistes- und Sozialwissenschaften 
29937865,Forstwissenschaften,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
35758305,Forstwissenschaften,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
60761519,Forstwissenschaften,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
172586392,Forstwissenschaften,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
192626868,Forstwissenschaften,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
198576642,Forstwissenschaften,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
31907460,Bodenwissenschaften,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
135946177,Bodenwissenschaften,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
165405448,Bodenwissenschaften,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
39932880,Musikwissenschaften,"Kunst-, Musik-, Theater- und Medienwissenschaften",Geistes- und Sozialwissenschaften 
42922943,Musikwissenschaften,"Kunst-, Musik-, Theater- und Medienwissenschaften",Geistes- und Sozialwissenschaften 
118660364,Musikwissenschaften,"Kunst-, Musik-, Theater- und Medienwissenschaften",Geistes- und Sozialwissenschaften 
173975782,Musikwissenschaften,"Kunst-, Musik-, Theater- und Medienwissenschaften",Geistes- und Sozialwissenschaften 
174776315,Musikwissenschaften,"Kunst-, Musik-, Theater- und Medienwissenschaften",Geistes- und Sozialwissenschaften 
181750155,Musikwissenschaften,"Kunst-, Musik-, Theater- und Medienwissenschaften",Geistes- und Sozialwissenschaften 
188727628,Musikwissenschaften,"Kunst-, Musik-, Theater- und Medienwissenschaften",Geistes- und Sozialwissenschaften 
49701054,Ernährungswissenschaften,Medizin,Lebenswissenschaften 
