source,target,value
100820596,1090448,1
100820596,1441808,1
100820596,1454093,1
100820596,1508243,1
100820596,1543950,1
100820596,1582326,1
100820596,1602628,1
100820596,1605501,1
100820596,1618001,1
100820596,1647068,1
100820596,1667755,1
100820596,1667763,1
100820596,1682494,1
100820596,1722420,1
100820596,1775456,1
100820596,1813444,1
100820596,181452699,1
100820596,18223134,1
100820596,1868528,1
100820596,213659701,1
100820596,237762023,1
100820596,251286794,1
100820596,55027545,1
1008266,1596484,1
1008523,1903642,1
1008523,1903656,1
1008523,1903686,1
100860986,1692996,1
100860986,234226442,1
100860986,234226496,1
1008621,1330022,1
1008621,1584954,1
1008769,1649484,1
1008811,1242846,1
1008811,1248028,1
1008811,1822636,1
1008811,1822860,1
100882239,1584894,1
1009045,1675838,1
1009185,6350,1
1009367,1234941,1
1009367,988568,1
1009459,192264390,1
1009473,1639207,1
1009473,1726036,1
1009473,1819476,2
1009473,1825863,1
1009534,1023559,1
1009534,1036357,1
1009534,1043180,1
1009534,1055917,1
1009534,1128098,1
1009534,1226019,1
1009534,128695384,2
1009534,1300958,1
1009534,1331913,1
1009534,1362998,1
1009534,1374616,1
1009534,1401633,2
1009534,1442445,1
1009534,14783115,1
1009534,1624222,1
1009534,1627013,1
1009534,1671024,1
1009534,1674878,1
1009534,1683448,1
1009534,1852997,1
1009534,1873907,1
1009534,1939370,1
1009534,198394679,1
1009534,27133883,1
1009534,37026130,1
1009541,1000544,1
1009541,1098267,2
1009541,1109446,1
1009541,1229134,1
1009541,1245488,1
1009541,1273345,1
1009541,1334515,1
1009541,1397054,1
1009541,1433258,1
1009541,1457682,1
1009541,1477615,1
1009541,1782455,1
1009541,1803081,1
1009541,191759602,1
1009541,217676106,1
1009541,256917,1
1009541,256937,1
1009541,61457953,1
1009631,1049168,1
1009631,1131907,1
1009631,1208693,1
1009631,1319948,1
1009631,1371751,1
1009631,1537439,1
1009631,1601652,1
1009631,1628280,1
1009631,392187,1
1009631,392191,1
1009751,1044064,1
1009751,1063030,1
1009751,1089032,1
1009751,1112103,1
1009751,1207080,3
1009751,1267022,1
1009751,1324235,1
1009751,135965967,1
1009751,1361311,1
1009751,1366190,2
1009751,1386168,1
1009751,1389440,1
1009751,1422719,3
1009751,1424471,1
1009751,1450042,1
1009751,1529241,1
1009751,153908634,1
1009751,1605501,1
1009751,1628657,1
1009751,1639383,1
1009751,1646357,3
1009751,1680138,2
1009751,1792102,1
1009751,1812174,1
1009751,1864547,1
1009751,1865686,1
1009751,1875076,1
1009751,215674526,1
1009751,216018343,1
1009751,24900474,1
1009751,25555455,1
1009751,37026075,1
1009751,422835,1
1009751,422846,1
1009751,59778955,1
1009751,59798611,1
1009751,71144927,2
1009751,819722,1
1009794,1036121,1
1009794,1038222,1
1009794,1248143,2
1009794,1278341,1
1009794,1283642,1
1009794,1329722,1
1009794,1368600,1
1009794,1430284,1
